pc_roads_lead2,pc_housing_lead2,exec_margin
196.1344715,61.2118244,0.124038279
143.3185847,2.783911529,-0.131493241
113.7089542,20.29674151,0.063320339
107.3267558,0.787385906,-0.071537316
114.1718905,9.207410522,0.001364768
125.7103672,4.866207761,0.09948355
215.6142927,14.83579237,0.087646127
83.30281624,12.81808456,-0.026485801
94.89617565,7.139026867,0.067503095
60.36084101,11.3366888,-0.057359219
115.0155119,45.81126321,0.109512925
135.0442223,32.25752677,-0.041663259
127.4320861,29.65482096,-0.063153565
267.3108108,45.67725119,-0.009533674
121.6501026,1.251061603,0.129434943
146.3289106,0,-0.064044148
125.4961717,23.9764672,0.084032416
105.6443799,39.92564411,-0.009829313
168.0493065,17.82526166,0.005043089
115.3019561,14.35022961,0.108251393
NA,NA,0.030475199
148.9279288,0,-0.0404661
118.3756641,137.5278911,-0.00625661
160.0762554,27.30632225,-0.017712682
158.6452162,28.80791731,0.013386071
33.40235278,13.68180559,-0.139652371
19.71075065,1.076996783,0.12032181
22.79524413,71.44032364,0.209040523
16.15459396,59.91864766,-0.061166406
61.82228725,118.8850344,0.036375046
49.88161999,8.761885864,-0.119687617
45.38398104,146.0915218,-0.007841378
98.7377609,158.8324553,-0.023318797
145.6331357,374.208196,0.012203693
85.61435699,60.25010356,-0.0134736
42.23809601,160.5703633,0.113501728
42.58649993,71.93367346,-0.107987612
54.29298128,141.4427634,-0.091061682
53.13022904,80.00910476,0.013095737
NA,NA,0.039938211
169.5511787,34.26880614,0.042455912
87.05320348,45.31871039,-0.027605921
64.31149733,27.73807329,-0.205421001
80.79668885,37.26878333,-0.137937069
153.4154788,15.12872786,-0.024279416
81.68991798,20.97945621,-0.105431199
102.2160414,69.02162209,0.018992126
131.8777825,0,0.029423416
49.85741163,NA,0.111256421
107.6226821,0,0.046201944
333.4102962,1.636244073,6.74E-04
99.3184694,47.87502697,0.149342299
NA,NA,0.00291276
100.7832054,23.38765195,-0.109157801
58.73461993,67.03105856,0.026597202
52.29356184,105.4454002,0.131462991
104.026725,22.32096616,-0.013882071
92.49288998,37.08164884,-0.105501682
NA,NA,-0.028029889
80.19909472,47.56665847,0.114859641
57.49227316,0,-0.105789661
82.50386266,0,-0.026039898
67.01002412,47.1500789,-0.1312235
32.93795815,119.8473523,0.044628739
44.06193985,46.04301931,0.086667418
84.87070905,44.02410515,0.140475094
79.23565072,34.77002895,0.026933432
97.10662737,58.97091864,0.115274608
NA,NA,0.499037266
NA,NA,-0.120620042
96.94414394,18.40626405,0.015101373
90.56335795,11.54414345,0.065069616
43.51861179,NA,0.033197343
52.65221001,0.703308209,-0.105199993
69.42829427,88.07039496,0.085844815
NA,NA,-0.090112209
NA,NA,-0.06003803
386.5471643,0,0.06003356
102.7855871,2.153028636,-0.030018657
90.30182573,25.35722909,-0.019973069
94.72554626,22.28276885,-0.026882976
33.69520171,31.38008921,0.066186607
44.69358238,52.14593443,0.012520432
82.84841161,81.62977691,0.071312547
NA,NA,0.062365234
73.58621338,109.8506512,-0.100395739
55.61596764,96.59313037,-0.010828763
53.0469496,117.7528847,-0.085277289
69.75326272,0,0.010611176
76.16425323,0,-0.030250311
44.9131196,25.7216723,0.009527504
84.26660285,26.88302077,-0.066102713
46.84666278,51.34634224,-0.058117986
39.02770717,41.90732778,0.039540529
81.05071122,0,-0.062172532
72.43944359,151.123109,0.126468539
NA,NA,-0.048338026
NA,NA,-0.138741732
83.38373887,0,-0.084472924
56.07651973,0.455289741,0.022734046
37.32296829,0,-0.054538369
50.82974276,13.01535547,-0.059373796
128.4425169,20.05425538,-0.11097005
126.1751596,67.46522195,0.054852724
133.7040053,119.2353841,0.140977085
NA,NA,-0.024608791
25.34404201,NA,0.14300698
41.92765541,66.649031,0.031556189
86.88514188,27.1772861,-0.145334452
106.5885841,10.57893513,0.031778097
382.3623867,11.26656591,0.009954393
88.59721484,0.425266631,0.025448442
119.7021367,19.23942208,0.135482252
183.3068683,9.316013591,0.079418123
90.77430354,49.49587334,-0.046494395
